Vehicle_Type,TollBoothID,Lane_Type,Vehicle_Dimensions,Geographical_Location,Vehicle_Speed,Fraud_indicator,state,month,time-of-day
Bus ,A-101,Express,Large,"13.059816123454882, 77.77068662374292",65,Fraud,Karnataka,1,11
Car,B-102,Regular,Small,"13.059816123454882, 77.77068662374292",78,Fraud,Karnataka,1,14
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",53,Not Fraud,Karnataka,1,18
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",92,Fraud,Karnataka,1,2
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",60,Fraud,Karnataka,1,6
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",105,Fraud,Karnataka,1,10
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",70,Fraud,Karnataka,1,15
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",88,Fraud,Karnataka,1,20
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",45,Fraud,Karnataka,1,1
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",72,Not Fraud,Karnataka,1,7
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",58,Fraud,Karnataka,1,12
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",81,Fraud,Karnataka,1,17
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",67,Fraud,Karnataka,1,22
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",98,Not Fraud,Karnataka,1,4
Bus ,A-101,Express,Large,"13.059816123454882, 77.77068662374292",50,Fraud,Karnataka,1,8
Car,B-102,Regular,Small,"13.059816123454882, 77.77068662374292",75,Fraud,Karnataka,1,13
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",62,Not Fraud,Karnataka,1,16
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",84,Fraud,Karnataka,1,22
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",55,Fraud,Karnataka,1,2
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",80,Not Fraud,Karnataka,1,7
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",68,Fraud,Karnataka,1,12
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",90,Not Fraud,Karnataka,1,15
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",48,Fraud,Karnataka,1,21
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",77,Not Fraud,Karnataka,1,3
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",63,Fraud,Karnataka,1,7
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",87,Not Fraud,Karnataka,1,11
